6202;T-8105D-50;South Park - Chef's Luv Shack v1.000 (1999)(Acclaim)(PAL)[!]
EA81;T-8105N;South Park - Chef's Luv Shack v1.000 (1999)(Acclaim)(US)[!]
812F;T-8116N;South Park Rally v1.001 (2000)(Acclaim)(US)[!]
044D;T17718N;Speed Devils - Online Racing v1.002 (2000)(Ubi Soft)(US)[!]
72F3;T-8102M;Spirit of Speed 1937 v1.000 (2000)(Acclaim - Taito)(JP)(en)[!]
D255;T-8118N;Spirit of Speed 1937 v1.001 (2000)(LJN)(US)[!]
E186;T-8117D-50;Spirit of Speed 1937 v1.002 (2000)(Acclaim)(PAL)(M4)[!]
DAF7;T40209N;StarLancer v1.002 (2000)(Crave)(US)[!]
2C2E;T17723D 05;StarLancer v1.003 (2000)(Crave - Ubi Soft)(PAL)[!]
D4EE;T14303M;Super Producers - Mezase Show Biz Kai v1.001 (1999)(Hudson)(JP)[!]
113F;T20602M;Super Robot Taisen Alpha for Dreamcast v1.016 (2001)(Banpresto)(JP)[!]
7E02;T22102M;Super Runabout - San Francisco Edition v1.000 (2001)(Climax Entertainment)(JP)[!]
A394;T12509N;Super Runabout - San Francisco Edition v1.005 (2000)(Interplay)(US)[!]
5B23;T7014D  50;Super Runabout v1.002 (2000)(Virgin)(PAL)[!]
F80B;T22101M;Super Runabout v2.001 (2000)(Climax Entertainment)(JP)[!]
26EF;T37911M;Sweet Season v1.000 (2003)(Takuyo)(JP)[!]
9577;TAXI2;Taxi 2 - Le Jeu v1.000 (2000)(Ubi Soft)(PAL)(FR)[!]
5386;T-45001D18;Tom Clancy's Rainbow Six incl. Eagle Watch Missions v1.001 (2000)(Red Storm - Swing!)(PAL)(DE)[!]
9C57;T-45001D09;Tom Clancy's Rainbow Six incl. Eagle Watch Missions v1.002 (2000)(Red Storm - Swing!)(PAL)(FR)[!]
CE3C;T-45001D05;Tom Clancy's Rainbow Six incl. Eagle Watch Missions v1.002 (2000)(Red Storm - Swing!)(PAL)[!]
97D4;T40401N;Tom Clancy's Rainbow Six v1.004 (2000)(Majesco - Red Storm)(US)[!]
E736;T36815D18;Tomb Raider - Die Chronik v1.001 (2000)(Eidos)(PAL)(DE)[!]
4BC6;T36815D09;Tomb Raider - Sur les Traces de Lara Croft v1.001 (2000)(Eidos)(PAL)(FR)[!]
916C;T36804D05;Tomb Raider - The Last Revelation v1.000 (2000)(Eidos)(PAL)[!]
DA5E;T-36806N;Tomb Raider - The Last Revelation v1.001 (2000)(Eidos)(US)[!]
21B8;T36815D13;Tomb Raider Chronicles - La Leggenda di Lara Croft v1.000 (2000)(Eidos)(PAL)(IT)[!]
8225;T36815D06;Tomb Raider Chronicles v1.000 (2000)(Eidos)(PAL)(ES)[!]
D1D8;T36812N;Tomb Raider Chronicles v1.000 (2000)(Eidos)(US)[!]
6A12;T36815D05;Tomb Raider Chronicles v1.002 (2000)(Eidos)(PAL)[!]
E1F3;T1233M;Tomb Raider IV - The Last Revelation v1.000 (2000)(Capcom)(JP)[!]
387F;T35403M;Tsuushin Taisen Logic Battle Daisessen v1.000 (2000)(Fortyfive)(JP)[!]
7AFB;MK-5109505;UEFA Dream Soccer v1.003 (2000)(Sega)(PAL)(M4)[!]
C114;T40204N;Ultimate Fighting Championship v1.001 (2000)(Crave)(US)[!]
716B;T36810N;Urban Chaos v1.000 (2000)(Eidos)(US)(en-fr)[!]
B7FA;T36810D 50;Urban Chaos v1.001 (2000)(Eidos)(PAL)(en-fr)[!]
52EB;HDR-0061;Virtua Cop 2 v1.011 (2000)(Sega)(JP)(en)[!]
DF23;T11011N;Who Wants to Beat Up a Millionaire v1.004 (2000)(Simon & Schuster)(US)[!]
5BF0;T42101N 00;Wild Metal v1.003 (2000)(Rockstar - Take 2)(US)(M6)[!]
2AD3;T40501D-50;Wild Metal v1.003 (2000)(Take 2)(PAL)(M6)[!]
9B07;T40601D 50;Worms Armageddon v1.001 (1999)(Hasbro - Team17)(PAL)(M8)[!]
4DB7;T40601N;Worms Armageddon v1.001 (1999)(MicroProse)(US)[!]
2542;T22904N;Worms World Party v1.001 (2001)(Titus)(US)(M9)[!]
5DC9;T7016D  50;Worms World Party v1.002 (2001)(Virgin)(PAL)(M9)[!]
EE30;T18704M;Yoshia no Oka de Nekoronde... v1.001 (2001)(Mesa - Naxat)(JP)[!]
C790;T37909M;Yuki Gatari v1.004 (2002)(Takuyo)(JP)[!]
F818;T0000M;METAL SLUG 6
F818;T0001M;KING OF FIGHTERS XI
F818;T0002M;SAMURAI SPIRITS TENKAICHI KENKAKUDEN
F818;T0003M;NEOGEO BATTLE COLISEUM
F818;T0004M;KNIGHTS OF VALOUR THE SEVEN SPIRITS
F818;T0005M;FASTER THAN SPEED
F818;T0006M;DOLPHIN BLUE
F818;T0006M;MAXIMUM SPEED
F818;T0007M;KING OF FIGHTERS NEOWAVE
F818;T0008M;DEMOLISH FIST
F818;T0009M;FIST OF THE NORTH STAR
F818;T0009M;RUMBLE FISH
F818;T0011M;GUILTY GEAR X VER 1.5
F818;T0012M;RUMBLE FISH 2
F818;T0013M;GUILTY GEAR ISUKA
F818;T0014M;SUSHI BAR
F818;T0015M;DIRTY PIGSKIN FOOTBALL
F818;T0016M;RANGER MISSION
F818;T0017M;SPORTS SHOOTING USA
F818;T0018M;SEGA CLAY CHALLENGE
F818;T0019M;KENJU
F818;T0020M;FORCE FIVE
F818;T0021M;ANIMAL BASKET
F818;T0022M;WAIWAI DRIVE
F818;T0023M;BLOCK PONG-PONG
F818;T0024M;EXTREME HUNTING
F818;T0025M;EXTREME HUNTING 2 TOURNAMENT EDITION
